status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
2,6,2,3,753,1,3,2,2,3,3,1,64,3,2,1,3,2,1,2,0
4,9,2,4,1236,1,2,1,2,1,4,1,23,3,1,1,3,2,2,2,0
1,24,3,0,1333,1,1,4,3,1,2,1,43,3,3,2,3,1,1,2,0
1,15,0,0,950,1,5,4,3,1,3,3,33,3,1,2,3,1,1,2,0
2,9,2,3,2118,1,3,2,3,1,2,1,37,3,2,1,2,1,1,2,1
2,18,2,9,1913,4,2,3,4,1,3,1,36,1,2,1,3,2,2,2,1
2,21,2,2,3976,5,4,2,3,1,3,3,35,3,2,1,3,2,2,2,0
2,15,3,5,1512,4,3,3,4,1,3,2,61,2,2,2,3,2,1,2,0
1,48,2,0,7763,1,5,4,3,1,4,4,42,1,3,1,4,2,1,2,1
1,6,2,0,1374,5,1,4,2,1,3,2,75,3,2,1,4,2,2,2,1
4,18,4,2,1817,1,3,4,2,1,2,4,28,3,2,2,3,2,1,2,0
4,6,2,8,1238,5,1,4,3,1,4,2,36,3,2,1,4,1,2,2,0
4,24,2,3,1376,3,4,4,2,1,1,3,28,3,2,1,3,2,1,2,1
2,27,2,9,3915,1,3,4,3,1,2,3,36,3,2,1,3,1,2,2,0
4,6,1,3,1750,3,5,2,3,1,4,2,45,1,2,1,2,1,1,2,0
2,24,2,3,3092,2,2,3,4,1,2,3,22,3,1,1,3,2,2,2,1
1,24,2,0,915,5,5,4,2,1,2,3,29,1,2,1,3,2,1,2,1
2,36,3,0,8086,2,5,2,3,1,4,3,42,2,2,4,4,2,2,2,1
4,18,4,1,3850,1,4,3,3,1,1,3,27,3,2,2,3,2,1,2,0
4,24,3,9,8648,1,2,2,3,1,2,3,27,1,2,2,3,2,2,2,1
4,6,2,4,1338,3,3,1,1,1,4,1,62,3,2,1,3,2,1,2,1
1,13,4,9,1797,1,2,3,3,1,1,2,28,1,2,2,2,2,1,2,0
4,48,4,0,10127,3,3,2,3,1,2,4,44,3,3,1,3,2,1,2,0
4,36,2,3,3835,5,5,2,2,1,4,1,45,3,2,1,2,2,2,2,0
4,12,4,5,996,5,4,4,2,1,4,1,23,3,2,2,3,2,1,2,0
1,12,2,2,2578,1,1,3,2,1,4,4,55,3,3,1,4,2,1,2,0
4,12,4,3,618,1,5,4,3,1,4,1,56,3,2,1,3,2,1,2,0
4,15,4,3,1360,1,3,4,3,1,2,2,31,3,2,2,3,2,1,2,1
1,12,2,8,902,1,4,4,4,1,4,2,21,3,1,1,3,2,1,2,1
2,12,2,3,766,3,3,4,3,1,3,1,66,3,2,1,2,2,1,2,0
2,6,1,6,433,4,2,4,2,1,2,2,24,1,1,1,3,1,1,2,0
4,4,4,3,1544,1,4,2,3,1,1,1,42,3,2,3,2,1,1,2,0
2,12,2,0,836,2,2,4,2,1,2,2,23,1,2,1,2,2,1,2,1
1,24,4,1,2957,1,5,4,3,1,4,2,63,3,2,2,3,2,2,2,1
3,36,2,3,4473,1,5,4,3,1,2,3,31,3,2,1,3,2,1,2,1
1,24,2,0,1381,5,3,4,2,1,2,2,35,3,2,1,3,2,1,2,1
4,24,2,0,7393,1,3,1,3,1,4,2,43,3,2,1,2,1,1,2,1
4,21,2,1,5248,5,3,1,3,1,3,3,26,3,2,1,3,2,1,2,0
2,24,2,0,1355,1,2,3,2,1,4,3,25,3,2,1,2,2,2,2,0
